filename,product_code,camera,observation_time_utc,archive_start_time_utc,product_size_bytes,altitude_km,product_type,end_time
ch2_tmc_ncf_20200101T0442246060_d_img_d18.zip,NCF,FORE,2020-01-01 04:42:24.606000+00:00,2020-01-01 04:42:24.606000+00:00,1417648000,85.0,IMG,2020-01-01 04:51:58.460000+00:00
ch2_tmc_ncn_20200101T0442246060_d_img_d18.zip,NCN,NADIR,2020-01-01 04:42:24.606000+00:00,2020-01-01 04:42:24.606000+00:00,1417648000,85.0,IMG,2020-01-01 04:51:58.460000+00:00
ch2_tmc_nca_20200102T1212541093_d_img_d18.zip,NCA,AFT,2020-01-02 12:12:54.109300+00:00,2020-01-02 12:12:54.109000+00:00,1466056000,104.83,IMG,2020-01-02 12:22:47.130000+00:00
ch2_tmc_ncf_20200102T1212541093_d_img_d18.zip,NCF,FORE,2020-01-02 12:12:54.109300+00:00,2020-01-02 12:12:54.109000+00:00,1466048000,104.83,IMG,2020-01-02 12:22:47.126000+00:00
ch2_tmc_ncn_20200102T1212541093_d_img_d18.zip,NCN,NADIR,2020-01-02 12:12:54.109300+00:00,2020-01-02 12:12:54.109000+00:00,1466056000,104.83,IMG,2020-01-02 12:22:47.130000+00:00
ch2_tmc_nca_20200106T1243527941_d_img_d18.zip,NCA,AFT,2020-01-06 12:43:52.794100+00:00,2020-01-06 12:43:52.794000+00:00,1456560000,95.67,IMG,2020-01-06 12:53:41.973000+00:00
ch2_tmc_ncf_20200106T1243527941_d_img_d18.zip,NCF,FORE,2020-01-06 12:43:52.794100+00:00,2020-01-06 12:43:52.794000+00:00,1456560000,95.67,IMG,2020-01-06 12:53:41.973000+00:00
ch2_tmc_ncn_20200106T1243527941_d_img_d18.zip,NCN,NADIR,2020-01-06 12:43:52.794100+00:00,2020-01-06 12:43:52.794000+00:00,1456552000,95.67,IMG,2020-01-06 12:53:41.970000+00:00
ch2_tmc_ncn_20200106T1243528749_d_img_d18.zip,NCN,NADIR,2020-01-06 12:43:52.874900+00:00,2020-01-06 12:43:52.874000+00:00,1456352000,95.67,IMG,2020-01-06 12:53:41.970000+00:00
ch2_tmc_ncf_20200106T1243528781_d_img_d18.zip,NCF,FORE,2020-01-06 12:43:52.878100+00:00,2020-01-06 12:43:52.878000+00:00,1456352000,95.67,IMG,2020-01-06 12:53:41.973000+00:00
ch2_tmc_nca_20200106T1243528781_d_img_d18.zip,NCA,AFT,2020-01-06 12:43:52.878100+00:00,2020-01-06 12:43:52.878000+00:00,1456352000,95.67,IMG,2020-01-06 12:53:41.973000+00:00
ch2_tmc_ncn_20200107T1812397441_d_img_d18.zip,NCN,NADIR,2020-01-07 18:12:39.744100+00:00,2020-01-07 18:12:39.744000+00:00,1460992000,96.98,IMG,2020-01-07 18:22:30.713000+00:00
ch2_tmc_ncf_20200107T1812397441_d_img_d18.zip,NCF,FORE,2020-01-07 18:12:39.744100+00:00,2020-01-07 18:12:39.744000+00:00,1460992000,96.98,IMG,2020-01-07 18:22:30.716000+00:00
ch2_tmc_nca_20200107T1812397441_d_img_d18.zip,NCA,AFT,2020-01-07 18:12:39.744100+00:00,2020-01-07 18:12:39.744000+00:00,1460984000,96.98,IMG,2020-01-07 18:22:30.716000+00:00
