observation_time_utc,archive_start_time_utc,archive_end_time_utc,camera_count,cameras,product_codes,has_nadir,has_aft,has_fore,complete_three_camera,product_count,filenames,target_sensor,target_time_utc,time_difference_hours
2026-02-17 07:03:50+00:00,2026-02-17 07:03:50.458000+00:00,2026-02-17 07:17:00.898000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260217T0703504587_d_img_d18.zip | ch2_tmc_ncf_20260217T0703504587_d_img_d18.zip | ch2_tmc_ncn_20260217T0703504587_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1012.0259802222222
2026-02-17 03:08:09+00:00,2026-02-17 03:08:08.564000+00:00,2026-02-17 03:21:14.846000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260217T0308085644_d_img_d18.zip | ch2_tmc_ncf_20260217T0308085644_d_img_d18.zip | ch2_tmc_ncn_20260217T0308085644_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1015.9540357777778
2026-02-16 15:23:56+00:00,2026-02-16 15:23:56.110000+00:00,2026-02-16 15:35:44.255000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260216T1523561109_d_img_d18.zip | ch2_tmc_ncf_20260216T1523561109_d_img_d18.zip | ch2_tmc_ncn_20260216T1523561109_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1027.6909802222222
2026-02-16 09:30:40+00:00,2026-02-16 09:30:40.488000+00:00,2026-02-16 09:43:48.323000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260216T0930404880_d_img_d18.zip | ch2_tmc_ncf_20260216T0930404880_d_img_d18.zip | ch2_tmc_ncn_20260216T0930404880_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1033.5787579999999
2026-02-16 07:30:49+00:00,2026-02-16 07:30:49.371000+00:00,2026-02-16 07:37:28.855000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260216T0730493717_d_img_d18.zip | ch2_tmc_ncf_20260216T0730493717_d_img_d18.zip | ch2_tmc_ncn_20260216T0730493717_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1035.576258
2026-02-15 07:57:40+00:00,2026-02-15 07:57:40.492000+00:00,2026-02-15 08:10:15.135000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260215T0757404954_d_img_d18.zip | ch2_tmc_ncf_20260215T0757404922_d_img_d18.zip | ch2_tmc_ncn_20260215T0757404922_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1059.128758
2026-02-14 14:18:33+00:00,2026-02-14 14:18:32.588000+00:00,2026-02-14 14:31:22.994000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260214T1418325888_d_img_d18.zip | ch2_tmc_ncf_20260214T1418325888_d_img_d18.zip | ch2_tmc_ncn_20260214T1418325888_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1076.7807024444444
2026-02-14 06:29:25+00:00,2026-02-14 06:29:25.107000+00:00,2026-02-14 06:42:35.540000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260214T0629251070_d_img_d18.zip | ch2_tmc_ncf_20260214T0629251070_d_img_d18.zip | ch2_tmc_ncn_20260214T0629251102_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1084.5995913333334
2026-02-14 02:30:46+00:00,2026-02-14 02:30:45.734000+00:00,2026-02-14 02:43:24.863000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260214T0230457348_d_img_d18.zip | ch2_tmc_ncf_20260214T0230457380_d_img_d18.zip | ch2_tmc_ncn_20260214T0230457380_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1088.5770913333333
2026-02-14 00:35:55+00:00,2026-02-14 00:35:54.845000+00:00,2026-02-14 00:48:25.907000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260214T0035548485_d_img_d18.zip | ch2_tmc_ncf_20260214T0035548485_d_img_d18.zip | ch2_tmc_ncn_20260214T0035548452_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,1090.491258
